STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Frequency of observation;ADJUSTMENT;Adjustment;REF_AREA;Reference area;SECTOR;Institutional sector;COUNTERPART_SECTOR;Counterpart institutional sector;TRANSACTION;Transaction;INSTR_ASSET;Financial instruments and non-financial assets;ACTIVITY;Economic activity;EXPENDITURE;Expenditure;UNIT_MEASURE;Unit of measure;PRICE_BASE;Price base;TRANSFORMATION;Transformation;TABLE_IDENTIFIER;Table identifier;TIME_PERIOD;Time period;OBS_VALUE;Observation value;REF_YEAR_PRICE;Price reference year;BASE_PER;Base period;CONF_STATUS;Confidentiality status;DECIMALS;Decimals;OBS_STATUS;Observation status;UNIT_MULT;Unit multiplier;CURRENCY;Currency
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2015-Q2;;0.457594;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2015-Q1;;0.692524;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2014-Q4;;0.458889;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2014-Q3;;0.815806;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2014-Q2;;0.498797;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2014-Q1;;0.109739;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2013-Q4;;0.570386;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2013-Q3;;0.729517;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2013-Q2;;0.53318;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2013-Q1;;0.627741;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2012-Q4;;-0.030346;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2012-Q3;;0.08738;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2012-Q2;;0.017132;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2012-Q1;;0.621354;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2011-Q4;;0.530728;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2011-Q3;;0.475272;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2011-Q2;;0.236586;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2011-Q1;;0.103576;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2010-Q4;;0.365964;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2010-Q3;;0.883691;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2010-Q2;;1.059978;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2002-Q4;;0.204409;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2009-Q4;;0.943132;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2009-Q3;;0.281074;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2009-Q2;;0.123258;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;1999-Q4;;1.206643;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;1999-Q3;;1.220629;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;1999-Q2;;0.589256;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2008-Q3;;-0.693314;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2002-Q1;;0.51305;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2001-Q4;;0.048942;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2001-Q3;;-0.319461;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2001-Q2;;0.187483;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2001-Q1;;0.377698;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2000-Q4;;0.556373;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2000-Q3;;0.268529;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2000-Q2;;1.246243;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2019-Q3;;0.67566;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2007-Q3;;0.344465;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2007-Q2;;0.53384;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2007-Q1;;0.419601;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2006-Q4;;0.964;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2006-Q3;;0.184469;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2006-Q2;;0.460397;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2006-Q1;;0.942641;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2005-Q4;;0.531761;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2005-Q3;;0.828764;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2005-Q2;;0.585276;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
